id,course_id,start,end,course_type,category,course_name,course_syllabus,course_keyword,course_category
6561,course-v1:CPVS+CPVS-HDLSC001+20160901,2016-11-16 08:00:00,2016-12-31 23:30:00,0,,蝴蝶蘭生產與應用,本課程的任務是讓學生掌握蝴蝶蘭組培育苗、栽培管理與應用技術，掌握設施設備的使用方法；培養學生耐心、細緻、嚴謹的工作態度和規範、標準的操作意識。,"蝴蝶蘭生產與應用,隨堂模式,北京市昌平職業學校,",商管
5557,course-v1:SCUT+144282+201709,2016-09-01 00:00:00,2017-02-28 00:00:00,0,,英美音樂與文化,"課程“英美音樂與文化”是一門以英文流行歌曲爲媒介，介紹英美文化的全英核心通識課程。
“Music And Culture in English” is an introductory course of English culture through the medium of popular songs of English culture.","英美音樂與文化,隨堂模式,華南理工大學,",音樂
9433,course-v1:ZK+06093+J,2018-01-01 08:00:00,2020-01-01 00:00:00,0,,06093-人力資源開發與管理,,"06093-人力資源開發與管理,隨堂模式,,",商管
8320,course-v1:nuist+001+2016-T1,2017-03-01 18:30:00,2017-07-01 23:30:00,0,,氣候變化與人類社會,,"氣候變化與人類社會,隨堂模式,,",科學
231,FUDAN/CFD004/2014.9-2015.1,2014-09-10 08:00:00,2015-09-10 00:00:00,0,,復旦大學青年教師教學發展研修班,,"復旦大學青年教師教學發展研修班,隨堂模式,,",程式
7645,course-v1:ANUx+EBM05x+3T2017,2017-09-18 08:00:00,2018-09-17 08:00:00,0,,Evidence-Based Global Management,Identify and evaluate the best international business strategies using evidence-based management.,"Evidence-Based Global Management,隨堂模式,澳洲國立大學,",商管
9953,course-v1:ChongqingUniversity+CQUMOOCMSE21202-002+2016_T2,2017-02-19 10:30:00,2017-05-15 00:00:00,0,,土木工程材料,,"土木工程材料,隨堂模式,重慶大學,",程式
7625,course-v1:JLUx+0000045603+SP,2016-09-26 08:00:00,,1,,奇異的仿生學（自主模式）,師法自然，通過向自然學習，人類獲得了源源不斷的創造力。仿生學的起源、誕生與發展也是人類文明與科技進步的發展歷程。,"奇異的仿生學（自主模式）,自主模式,吉林大學,生命科學",科學
8657,course-v1:TsinghuaX+00680082_1X_p1+sp,2016-12-01 08:00:00,,1,philosophy,美是旺盛的生命力（微慕課）,美是旺盛的生命力（微慕課）是以《審美的歷程》中提取而來，只講授審美概念和感受性內容。,"美是旺盛的生命力（微慕課）,自主模式,清華大學,哲學,藝術·設計",藝術
8833,course-v1:global_TsinghuaX+70120073X+sp,2016-09-12 10:00:00,2017-01-16 10:00:00,0,,Finite Element Method Analysis and Applications,,"Finite Element Method Analysis and Applications,隨堂模式,,",程式
3814,course-v1:CIE+CXST001+2015_T2,2015-12-30 00:00:00,2016-12-30 00:30:00,0,,從企業視角參與創新生態,通過創新生態進行發展的途徑,"從企業視角參與創新生態,隨堂模式,中國創業學院,",商管
9343,course-v1:JaverianaX+GEN1.0x+1T2017,2017-04-17 08:00:00,2017-06-04 08:00:00,0,,Lo que todos deberían saber del Genoma Humano,"En este MOOC introductorio al conocimiento del genoma humano, aprenderá acerca de la estructura, función y aplicación básica del genoma humano en la investigación biomédica actual.","Lo que todos deberían saber del Genoma Humano,隨堂模式,,",程式
8006,course-v1:TsinghuaX+TsinghuaMandarin01+2016_2017,2016-06-01 08:00:00,2016-08-07 08:00:00,0,,漢語聽說入門與課程設計(2016_T2),本課程包含漢語入門（英文授課）部分和漢語教學設計（中文授課）部分，適合漢語初學者及對漢語教學感興趣的學習者。你也可以利用課程的英文內容來提高自己的英語水平。,"漢語聽說入門與課程設計(2016_T2),隨堂模式,清華大學,",語言
2159,course-v1:BIT+PHY1701702+2015_T2_,2015-03-17 08:00:00,2016-05-31 00:00:00,0,,大學物理——電磁學,物理，洞悉大千世界；物理，連接現代生活；物理，引領技術革命；物理，塑造人類靈魂。我們將帶你走進物理大世界，結識物理大師，瞭解生活大物理，成爲科技大偵探。,"大學物理——電磁學,隨堂模式,北京理工大學,",科學
10988,course-v1:SDJTU+lyh+2017_T2,2017-04-01 08:00:00,2030-08-31 23:30:00,0,,市政工程計量與計價,,"市政工程計量與計價,隨堂模式,,",商管
9645,course-v1:TsinghuaX+30240184.1x+1T2017,2017-02-21 08:00:00,2017-07-21 08:00:00,0,,Data Structures and Algorithm Design Part I 數據結構與算法設計(上),Learn the basics of data structures and methods to design algorithms and analyze their performance.,"Data Structures and Algorithm Design Part I 數據結構與算法設計(上),隨堂模式,清華大學,",程式
11935,course-v1:WageningenX+GFFCx+2T2017,2017-06-13 08:00:00,2018-02-01 08:00:00,0,,Sustainable Food Security: Crop Production,<p>Learn the basics of crop production and find out how to feed the future world population without depleting our planet’s resources!</p>,"Sustainable Food Security: Crop Production,隨堂模式,瓦赫寧根大學,",程式
577,TsinghuaX/70150023X/2015_T1,2015-03-02 08:00:00,2015-07-05 00:00:00,0,engineering,汽車理論,汽車無所不在，絕大多數人都坐過汽車，很多人還會開車，但你對汽車的性能有多少了解呢？本門課程將引導你對汽車從感性認識上升到理性認識。,"汽車理論,隨堂模式,清華大學,工程",運動
11105,course-v1:HKUx+HKU06.1x+3T2017,2017-09-12 08:00:00,2017-10-24 08:00:00,0,,Hong Kong Cinema through a Global Lens,"Explore globalization through Hong Kong film classics of Bruce Lee, Jackie Chan, and Maggie Cheung, among others.","Hong Kong Cinema through a Global Lens,隨堂模式,香港大學,",語言
9248,course-v1:TsinghuaX+00612642X_p6+sp,2017-01-13 09:30:00,,1,history,王莽篡漢（微慕課）,本課程源自《<資治通鑑>導讀》。,"王莽篡漢（微慕課）,自主模式,清華大學,歷史",商管
10488,course-v1:TsinghuaX+lzu_00460032X_1+2017_T1,2017-04-10 00:00:00,2017-05-21 23:30:00,0,,應對氣候變化的中國視角,本課程的內容可以向國際社會彰顯中國應對氣候變化的立場、政策和行動及其成效。,"應對氣候變化的中國視角,隨堂模式,清華大學,",商管
5745,course-v1:365dx+145+2016_T1,2016-03-01 08:00:00,2016-07-01 00:00:00,0,,不朽的藝術：走進大師與經典（2016春）,以歷史爲經線，中外比較爲緯線，以文化解讀爲主導，引導修課學生欣賞和理解中西藝術史發展中，最偉大的大藝術家及其不朽藝術傑作的美學特徵和文化精神意蘊。,"不朽的藝術：走進大師與經典（2016春）,隨堂模式,,",音樂
11899,course-v1:Microsoft+DEV273x+2T2017,2017-06-01 08:00:00,2017-09-30 08:00:00,0,,Introduction to TypeScript 2,Learn all the basics of TypeScript to build great web applications. TypeScript is the future of web development.,"Introduction to TypeScript 2,隨堂模式,微軟,",程式
2296,course-v1:TsinghuaX+00720091X+sp,2015-03-24 09:00:00,,1,,足球運動與科學（自主模式）,本課程將從全新的視角剖析足球運動，將足球運動的基本知識和所蘊含的科學理論相結合，通過課程學習，掌握足球運動的相關知識和科學規律，欣賞足球運動獨特的魅力。,"足球運動與科學（自主模式）,自主模式,清華大學,其他",運動
5873,course-v1:XJTUMOOC+C00204+2016_T1,2016-03-25 08:00:00,2016-07-31 23:30:00,0,,中國哲學經典著作導讀（2016春）,這是一個全球化、信息化、快餐化的時代；全球化拷問着人們的文化根基，信息化拷問着人們的價值信仰，快餐化拷問着人們的經典閱讀。 民族的就是世界的。爲繼承弘揚中華文化傳統，我們特意打造這門課，希冀提供一個閱讀哲學經典、傳承中國文化、鑄造民族精神的平臺，讓中國文化走向世界、走向未來。,"中國哲學經典著作導讀（2016春）,隨堂模式,,",語言
680,PEC/20220214X_7/2015_T1,2016-03-01 08:00:00,2016-07-10 08:00:00,0,,重慶科技學院_電路原理（新）,電路原理是電類各專業最重要的一門基礎課，後續各課程都建立在這門課的知識體系之上，是電類專業本科生的“看家課”。清華大學電路原理課程爲學生提供紮實基礎和豐富應用。,"重慶科技學院_電路原理（新）,隨堂模式,,",程式
10171,course-v1:DelftX+PV2x+3T2017,2017-09-05 08:00:00,2017-11-11 08:00:00,0,,Solar Energy: Photovoltaic (PV) Technologies,Explore the main PV technologies in the current market. Get in-depth knowledge on the design and processing methods of solar cells.,"Solar Energy: Photovoltaic (PV) Technologies,隨堂模式,荷蘭代爾夫特理工大學,",程式
1623,course-v1:TsinghuaX+00720091_2014X+2014_T2,2015-06-18 09:00:00,2016-06-18 23:30:00,0,,足球運動與科學（2014秋）,本課程將從全新的視角剖析足球運動，將足球運動的基本知識和所蘊含的科學理論相結合，通過課程學習，掌握足球運動的相關知識和科學規律，欣賞足球運動獨特的魅力。,"足球運動與科學（2014秋）,隨堂模式,清華大學,",運動
8957,course-v1:dongguan+gaozhong10+20161223,2016-12-24 08:00:00,2017-04-24 00:00:00,0,,準高一英語銜接課,,"準高一英語銜接課,隨堂模式,,",程式
5763,course-v1:365dx+158+2016_T1,2016-03-01 08:00:00,2016-07-01 00:00:00,0,,e時代的大佬師——慕課教師的修煉心法（2016春）,慕課正在逐漸改變着教與學的模式，將最新的教育理念和技術手段服務於教育的改革之中。本課將深入探討慕課的製作與運營，武裝每一位e時代的老師。,"e時代的大佬師——慕課教師的修煉心法（2016春）,隨堂模式,,",教育
1682,course-v1:TsinghuaX+10610183X+2015_T1,2015-10-18 08:00:00,2016-06-18 00:00:00,0,,思想道德修養與法律基礎,“大學之道，在明明德，在親民，在止於至善。”《思想道德修養與法律基礎》課程，帶領初入大學之門的你，走入求真、求善、求美的思想旅程。,"思想道德修養與法律基礎,隨堂模式,清華大學,",商管
10450,course-v1:TsinghuaX+cau10610224X_08+2017_T1,2017-03-14 00:00:00,2017-07-31 00:00:00,0,,毛澤東思想和中國特色社會主義理論體系概論（2017春）（08張玲玲）,毛澤東思想和中國特色社會主義理論體系是中國共產黨治國理政的指南針、顯微鏡和望遠鏡。本課程將帶你探索這些政治理論的來龍去脈、前因後果、微言大義和現實影響等。,"毛澤東思想和中國特色社會主義理論體系概論（2017春）（08張玲玲）,隨堂模式,清華大學,",商管
7171,course-v1:NUDT+520804502+sp,2017-06-01 08:00:00,,1,engineering,統計信號處理（自主模式）,本課程內容包括隨機信號分析、參數估計、最佳濾波、信號檢測四個部分。主要作用就是使學習者系統地瞭解和掌握本學科領域涉及的隨機信號處理的理論、方法與應用，能夠根據工程實際問題需要分析信號特徵、設計最佳估計器、濾波器和檢測器，能運用統計的思維方法解決工程中的實際問題，爲從事相關技術領域的科學研究打下堅實的理論基礎。,"統計信號處理（自主模式）,自主模式,國防科技大學,電子,工程",商管
830s0,course-v1:TsinghuaX+20220214X+2016_2017,2016-02-22 08:00:00,2016-06-23 00:00:00,0,,電路原理(2016_T2),電無處不在。人類文明的進程，幾乎就是研究和利用電的過程。電路是用電爲人類服務的直接工具。電路原理這門課程教會你分析和設計電路的基本方法。,"電路原理(2016_T2),隨堂模式,清華大學,",程式
10164,course-v1:USMx+CC605x+2T2017,2017-05-31 08:00:00,2017-07-26 08:00:00,0,,Cloud Computing for Enterprises,Understand cloud computing technologies and how they can increase business productivity and effectiveness.,"Cloud Computing for Enterprises,隨堂模式,,",程式
8974,course-v1:dongguan+gaozhong27+20161223,2016-12-25 08:00:00,2017-04-25 00:00:00,0,,新聞、傳記預習方法指導（預習課）高二銜接課,,"新聞、傳記預習方法指導（預習課）高二銜接課,隨堂模式,,",程式
9304,course-v1:ynu_TsinghuaX+01030132X+2017_T1,2017-01-09 00:00:00,2017-04-09 00:00:00,0,,大學歷史與文化（2017春）,"相信你渴望上大學, 但你瞭解大學的前世今生嗎? 也許你正在讀大學, 但你深入思考過大學的意義嗎？ 甚至你讀過了大學，但你真正理解大學的價值嗎？--這門課程就是爲你開的！","大學歷史與文化（2017春）,隨堂模式,,",商管
10627,course-v1:JLU+260310+161721,2017-04-03 23:30:00,2017-09-02 23:30:00,0,,健康評估(2017春),健康評估是一門護理專業學生必修的主幹課程。通過本課程的學習，學生掌握以病人爲中心的，包括生理、心理、社會和精神在內的評估原理與方法，以及通過收集、綜合、分析資料，概括護理診斷依據，形成護理診斷的方法。,"健康評估(2017春),隨堂模式,吉林大學,",運動
5735,course-v1:NJU+010101+2016_T1,2016-03-28 08:00:00,2017-02-15 23:30:00,0,social science,理解馬克思,本課程學習主要圍繞兩條線索展開講授：一是重點講述馬克思的生平和思想發展的歷程；二是着重講述《1844年經濟學哲學手稿》、《共產黨宣言》、《資本論》三本核心著作的基本思想及其當代意義。,"理解馬克思,隨堂模式,南京大學,社科·法律",商管
8375,course-v1:TsinghuaX+30806872X+2016_2017,2016-12-23 08:00:00,2017-04-23 00:00:00,0,,中國服裝史(2016_T2),詳細詮釋中國服飾藝術特徵、發展脈絡、時尚變遷和文化內涵，圖解中國服飾式樣結構與工藝特點，舉例中國風時裝設計，分析中國元素時裝創新設計途徑。,"中國服裝史(2016_T2),隨堂模式,清華大學,",藝術
10459,course-v1:xuetangX+ynni_20161215X+2017_T1,2017-02-20 08:00:00,2017-12-31 23:30:00,0,,如果玩轉學堂雲平臺,,"如果玩轉學堂雲平臺,隨堂模式,",程式
11612,course-v1:DYU+dyuglbbx+2017_T2,2017-09-05 08:00:00,2017-12-25 23:30:00,0,economics,管理百寶箱（2017秋）,除了工作，我們日常生活中的事與務也時時都需要管理；舉凡時間的管理、個人及家庭財務的管理、人際之間的互動與溝通、及週休旅遊規劃等等，皆涉及相關管理概念、理論、或工具的應用；因此，管理知識可以說是身爲現代社會公民必備的素養之一。另一方面，對管理學院的學生而言，管理學則是重要的基礎入門課程；而對非管理學院的學生而言，管理知識與專業知識的互動，亦將有助學生的前程規劃。鑑於管理知識的重要性，作者基於多年授課經驗，特別設計此一課程，以輕鬆及彈性化方式，將相關基本卻重要的管理知識有系統地介紹給選修者；質言之，本課程的目標在於增進修習者的管理知識，使其於專業上或日常生活上，皆能因此而獲益。,"管理百寶箱（2017秋）,隨堂模式,大葉大學 ,經管·會計",商管
8507,course-v1:UQx+Able101x+3T2016,2016-12-02 08:00:00,2017-12-01 08:00:00,0,,Through my Eyes – Intellectual Disability Healthcare around the World,"Learn, from personal stories, the daily life and challenges faced by those with intellectual disabilities.","Through my Eyes – Intellectual Disability Healthcare around the World,隨堂模式,昆士蘭大學,",運動
8202,course-v1:hnit_TsinghuaX+34000888X+2016_T2,2016-10-26 00:00:00,2017-01-11 00:00:00,0,,走進醫學,醫學是融合了人類聰明才智集科學、哲學和人文於一體的藝術學科。打開本課，您將領略到一個全新的世界，我們將帶您去揭開人類疾病與健康的奧祕。,"走進醫學,隨堂模式,,",科學
7444,course-v1:DelftX+ScratchX+3T2016,2016-09-06 08:00:00,2017-07-01 08:00:00,0,,Scratch: Programmeren voor kinderen (8+),"In deze gratis cursus leer je spelenderwijs programmeren. Maak je eigen games met Scratch, terwijl je leert hoe je op een nette manier programmeert","Scratch: Programmeren voor kinderen (8+),隨堂模式,荷蘭代爾夫特理工大學,",程式
9290,course-v1:TsinghuaX+00690302_2+2017_T2,2017-04-03 08:00:00,2017-05-31 23:30:00,0,literature,攜手向花間——崑曲經典劇目欣賞（2017春）,崑曲最經典的劇目有哪些？它們表現的是什麼樣的故事？有哪些人物？各自有什麼藝術特色？有哪些好的版本？本課程將爲你一一介紹。,"攜手向花間——崑曲經典劇目欣賞（2017春）,隨堂模式,清華大學,文學,藝術·設計",音樂
9378,course-v1:ZK+00316+J,2018-01-01 08:00:00,2020-01-01 00:00:00,0,,00316-西方政治制度,,"00316-西方政治制度,隨堂模式,,",程式
8697,course-v1:shandongjiaotonguniversity+wlsy01+2016_T2,2017-01-01 08:00:00,2017-08-01 08:00:00,0,,大學物理實驗,,"大學物理實驗,隨堂模式,,",科學
11495,course-v1:CQU+TSJYSSG00031+2017_T1,2017-05-01 08:00:00,2020-05-01 00:00:00,0,,政府與社會（通識教育）,,"政府與社會（通識教育）,隨堂模式,重慶大學,",語言
7225,course-v1:TsinghuaX+KB2700194102+2016_T2,2016-02-22 08:00:00,2016-06-23 00:00:00,0,,電路原理（2016春 ）,電無處不在。人類文明的進程，幾乎就是研究和利用電的過程。電路是用電爲人類服務的直接工具。電路原理這門課程教會你分析和設計電路的基本方法。,"電路原理（2016春 ）,隨堂模式,清華大學,",程式
7256,course-v1:TSINGHUA+70160613X+2016_T2,2030-01-01 08:00:00,2016-01-31 00:00:00,0,,設計的人因與文化(2016秋),本課程將依託於實際的設計案例和有趣的文化現象，引導學生從文化的視角運用人因學的知識和方法理解什麼是以用戶爲中心的設計理念，掌握科學的設計和評估方法。,"設計的人因與文化(2016秋),隨堂模式,,",商管
9287,course-v1:TsinghuaX+AP201601X+sp,2017-01-16 08:00:00,2017-02-28 23:30:00,0,,大學物理（先修課）-電磁學（寒假自主模式）,大學物理先修課(電磁學) 是爲對物理感興趣、學有餘力、有矢量和微積分基礎的優秀高中生開設的大學電磁學先修教程。包括靜電場、靜磁場、電磁感應、電磁波以及電場和磁場與物質的相互作用。,"大學物理（先修課）-電磁學（寒假自主模式）,隨堂模式,清華大學,大學先修課",科學
3997,course-v1:bdschool+01030132X+2015_T2,2015-01-15 00:00:00,2016-01-15 00:00:00,0,,大學歷史與文化,"相信你渴望上大學, 但你瞭解大學的前世今生嗎? 也許你正在讀大學, 但你深入思考過大學的意義嗎？ 甚至你讀過了大學，但你真正理解大學的價值嗎？--這門課程就是爲你開的!","大學歷史與文化,隨堂模式,,",商管
